"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
7.78387901456606e-13,-0.730144237721889,0.074,0.364,1.91109797565626e-08
8.89271471222e-13,-0.574163125751946,0.144,0.564,2.18333931614425e-08
1.00507405909755e-12,-0.407834684438751,0.083,0.4,2.4676578298963e-08
1.01955026468069e-12,-0.577197703167253,0.025,0.2,2.50319980984402e-08
1.02691839026812e-12,-0.483751093846401,0.049,0.291,2.52129003178629e-08
1.09313641257601e-12,-0.594923429450423,0.175,0.636,2.68386852015663e-08
1.12112330146305e-12,-0.714199064294279,0.114,0.473,2.75258192975208e-08
1.14979993936292e-12,-0.591389450786385,0.16,0.6,2.82298881112384e-08
1.15821472221048e-12,-0.490011119453946,0.025,0.2,2.84364878597118e-08
1.16735022742478e-12,-0.451605192123298,0.034,0.236,2.86607827837332e-08
1.21738038577146e-12,-0.591341838313673,0.021,0.182,2.98891232314608e-08
1.32997061859479e-12,-0.546513952367125,0.055,0.309,3.26534386277394e-08
1.43057994710434e-12,-0.522604460641355,0.01,0.127,3.51235988613057e-08
1.63641535299628e-12,-0.608759191317112,0.068,0.345,4.01772697467648e-08
1.64864570980265e-12,-0.475117669791252,0.01,0.127,4.04775494670748e-08
1.70027447577915e-12,-0.510644820649722,0.014,0.145,4.17451389293298e-08
1.71711057697134e-12,-0.554285044502881,0.111,0.473,4.21584988858002e-08
1.75033043144328e-12,-0.489299089148586,0.014,0.145,4.29741127527955e-08
1.80422709176807e-12,-0.389017069058865,0.005,0.091,4.42973835570896e-08
1.94156926587425e-12,-0.360103008430773,0.005,0.091,4.76694086157445e-08
2.05753096167088e-12,-0.602104330694774,0.056,0.309,5.05165001709435e-08
2.08587301234923e-12,-0.713339605467125,0.124,0.491,5.12123541991983e-08
2.14805992851345e-12,-0.343720295824323,0.003,0.073,5.27391673648622e-08
2.29706338026691e-12,-0.486229610801187,0.068,0.345,5.63975001123131e-08
2.52294563557462e-12,-0.57408145372477,0.075,0.364,6.19433612446282e-08
2.53619227431011e-12,-0.573644546506692,0.057,0.309,6.22685927188618e-08
2.54783939640568e-12,-0.4785778731213,0.051,0.291,6.25545528605524e-08
2.58694193276983e-12,-0.691881238095219,0.109,0.455,6.35145983333648e-08
3.14092147043967e-12,-0.701920089568348,0.103,0.436,7.71159039422349e-08
3.46133951759517e-12,-0.588166824703236,0.052,0.291,8.49828078359966e-08
